left,price,room,salon,area,age,province,district
Daire,3985000.0,3.0,1.0,125.0,25.0,İzmir , Karşıyaka 
Daire,3250000.0,3.0,1.0,210.0,10.0,İzmir , Torbalı 
Villa,6350000.0,3.0,1.0,165.0,2.0,İzmir , Seferihisar 
Villa,10500000.0,3.0,1.0,200.0,25.0,İzmir , Çeşme 
Daire,5500000.0,3.0,1.0,148.0,20.0,İzmir , Gaziemir 
Daire,2100000.0,2.0,1.0,100.0,1.0,İzmir , Menemen 
Villa,38000000.0,4.0,2.0,280.0,16.0,İzmir , Çeşme 
Residence,13900000.0,2.0,1.0,105.0,5.0,İzmir , Çeşme 
Daire,7250000.0,3.0,1.0,120.0,8.0,İzmir , Karşıyaka 
Daire,6900000.0,4.0,1.0,210.0,28.0,İzmir , Karşıyaka 
Daire,5555000.0,3.0,1.0,130.0,4.0,İzmir , Karşıyaka 
Daire,3750000.0,3.0,1.0,150.0,25.0,İzmir , Karabağlar 
Daire,3745000.0,3.0,1.0,145.0,1.0,İzmir , Ödemiş 
Daire,4500000.0,1.0,1.0,65.0,4.0,İzmir , Narlıdere 
Villa,29900000.0,6.0,2.0,350.0,11.0,İzmir , Güzelbahçe 
Daire,3100000.0,3.0,1.0,100.0,35.0,İzmir , Karabağlar 
Daire,4000000.0,3.0,1.0,183.0,8.0,İzmir , Bayraklı 
Villa,27000000.0,4.0,1.0,126.0,1.0,İzmir , Çeşme 
Daire,2100000.0,3.0,1.0,109.0,25.0,İzmir , Bayraklı 
Residence,12500000.0,3.0,1.0,192.0,5.0,İzmir , Karşıyaka 
Villa,8400000.0,3.0,2.0,186.0,26.0,İzmir , Urla 
Villa,9000000.0,4.0,1.0,185.0,4.0,İzmir , Dikili 
Daire,3000000.0,1.0,1.0,70.0,8.0,İzmir , Bornova 
Villa,11000000.0,3.0,1.0,129.0,20.0,İzmir , Foça 
Daire,1850000.0,2.0,1.0,78.0,28.0,İzmir , Balçova 
Daire,2200000.0,2.0,1.0,85.0,8.0,İzmir , Bayraklı 
Daire,4650000.0,4.0,1.0,150.0,34.0,İzmir , Konak 
Daire,4300000.0,3.0,1.0,125.0,25.0,İzmir , Gaziemir 
Villa,17300000.0,4.0,1.0,145.0,3.0,İzmir , Çeşme 
Daire,2735000.0,2.0,1.0,120.0,30.0,İzmir , Selçuk 
Daire,2750000.0,2.0,1.0,115.0,27.0,İzmir , Karabağlar 
Daire,4150000.0,3.0,1.0,135.0,20.0,İzmir , Seferihisar 
Daire,3250000.0,2.0,1.0,110.0,35.0,İzmir , Karabağlar 
Villa,14900000.0,4.0,1.0,260.0,15.0,İzmir , Güzelbahçe 
Daire,4600000.0,3.0,1.0,140.0,9.0,İzmir , Karşıyaka 
Daire,5050000.0,3.0,1.0,180.0,12.0,İzmir , Karşıyaka 
Daire,3950000.0,3.0,1.0,160.0,16.0,İzmir , Buca 
Daire,4250000.0,2.0,1.0,114.0,3.0,İzmir , Çiğli 
Bina,4350000.0,2.0,1.0,120.0,30.0,İzmir , Konak 
Villa,7450000.0,3.0,1.0,200.0,9.0,İzmir , Menderes 
Daire,2640000.0,1.0,1.0,65.0,4.0,İzmir , Menemen 
Daire,3500000.0,2.0,1.0,110.0,15.0,İzmir , Menderes 
Daire,3150000.0,3.0,1.0,130.0,30.0,İzmir , Karabağlar 
Daire,5250000.0,3.0,1.0,124.0,2.0,İzmir , Gaziemir 
Daire,3250000.0,1.0,1.0,55.0,7.0,İzmir , Bornova 
Daire,3350000.0,1.0,1.0,45.0,35.0,İzmir , Karşıyaka 
Daire,7350000.0,3.0,1.0,160.0,9.0,İzmir , Çiğli 
Daire,5750000.0,3.0,1.0,110.0,3.0,İzmir , Karşıyaka 
Villa,6200000.0,3.0,1.0,110.0,27.0,İzmir , Dikili 
Bina,4750000.0,3.0,1.0,180.0,40.0,İzmir , Karabağlar 
Daire,4300000.0,3.0,1.0,130.0,10.0,İzmir , Karşıyaka 
Villa,19900000.0,4.0,2.0,350.0,4.0,İzmir , Çiğli 
Villa,6250000.0,2.0,1.0,115.0,25.0,İzmir , Dikili 
Müstakil,1450000.0,2.0,1.0,136.0,35.0,İzmir , Bergama 
